ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
11;ESTATUA;1;MARMOL DE CORDOBA;INTERIORES;ALVAREZ LOMBA, A.;;;BOEDO AV. 883;BOEDO AV.;883;BOEDO;COMUNA 5;1218;C1218AAE;-34.62371261326536;-58.4163275755905
14;ESTATUA;1;MARMOL;EL TRABAJO;ANDINA, EMILIO;;;CASEROS AV. Y MONTEAGUDO;CASEROS AV.;;PARQUE PATRICIOS;COMUNA 4;;;-34.63711738161982;-58.40561079435866
15;ESTATUA;1;BRONCE;?USTA (FUENTE INCAICA);ANDINA, EMILIO;;;PERON, EVA AV. 1410;PERON, EVA AV.;1410;PARQUE CHACABUCO;COMUNA 7;1406;C1406HMP;-34.632902763217736;-58.44476251965362
17;MASTIL;1;GRANITO Y BRONCE;HOMENAJE A LA BANDERA;PERLOTI, LUIS;PLAZA VELEZ SARSFIELD;PLAZA VELEZ SARSFIELD;AVELLANEDA AV. 3800;AVELLANEDA AV.;3800;FLORESTA;COMUNA 10;1407;C1407EJR;-34.62920338494417;-58.48217465717332
18;MONUMENTO;1;BRONCE Y MAMPOSTERIA;CEFERINO NAMUNCURA;ARMAS, ARMANDO;PZTA CEFERINO NAMUNCURA;PZTA CEFERINO NAMUNCURA;ARREGUI AV. 6400;ARREGUI AV.;6400;VERSALLES;COMUNA 10;1408;C1408AVV;-34.6284718480725;-58.52401789645231
19;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA OBRA 85;D.G.M;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
21;BUSTO;1;MARMOL;BASILIO V. PERTINE;ARRIGUTTI, MASIO;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
22;PLACA;1;BRONCE;HJE. A JUAN DE GARAY;;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
23;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. AL IV° CENTENARIO;;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
24;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. AL IV° CENTENARIO;;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
25;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. VASCO A GUERNICA;;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
26;BUSTO;1;MARMOL;MARIANO DE VEDIA YMITRE;ASSALI, ORESTES;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
27;ESCULTURA MODERNA;1;MAMPOSTERIA;LA PRIMAVERA;ASSLER, FEDERICO;;;CORDOBA AV. Y RODRIGUEZ PEÑA;CORDOBA AV.;;SAN NICOLAS;COMUNA 1;;;-34.5995601455541;-58.39155901024706
28;MONUMENTO;1;BRONCE Y GRANITO;EN LAS AMERICAS;ATTARDI, UGO;PZTA PROVINCIA DE TUCUMAN;PZTA PROVINCIA DE TUCUMAN;9 DE JULIO AV. Y PELLEGRINI, CARLOS;9 DE JULIO AV.;;RETIRO;COMUNA 1;;;-34.59668496376315;-58.38142415256232
29;BUSTO;1;PIEDRA MAR DEL PLATA;MIGUEL DE CERVANTES SAAVEDRA;AZCARATE, ENRIQUE;JARDIN DE LOS POETAS;JARDIN DE LOS POETAS;ISABEL, INFANTA AV. 900;ISABEL, INFANTA AV.;900;;COMUNA 14;1425;C1425CHA;-34.57006679763025;-58.42048286500513
31;ESTATUA;1;BRONCE;LA COSECHADORA;BADIN, JEAN VICTOR;;;MITRE, EMILIO 793;MITRE, EMILIO;793;PARQUE CHACABUCO;COMUNA 7;1424;C1424AYO;-34.63093429652618;-58.442290810147185
33;MONUMENTO;1;BRONCE Y MARMOL;HOMENAJE A LOS CAIDOS EN CASTILLA;BAIARDI, MARIO;;;OBLIGADO RAFAEL, AV.COSTANERA;OBLIGADO RAFAEL, AV.COSTANERA;;;COMUNA 1;;;;
34;MONUMENTO;1;BRONCE Y GRANITO;CAP.GRL.JUSTO JOSE DE URQUIZA;BALDI,RENZO Y ROCHA,HECTOR;;;FIGUEROA ALCORTA, PRES. AV. Y SARMIENTO AV.;FIGUEROA ALCORTA, PRES. AV.;;PALERMO;COMUNA 14;;;-34.571545801660946;-58.41158090327671
35;BUSTO;1;CEMENTO PATINADO;COMANDANTE LUIS J. FONTANA;BALERO, LUIS;;;IRIGOYEN, BERNARDO DE 248;IRIGOYEN, BERNARDO DE;248;MONSERRAT;COMUNA 1;1072;C1072AAF;-34.611279686525044;-58.38052427735525
36;ESTATUA;1;GRANITO RECONSTITUIDO;TESTIMONIO;BALIETTI, ALBERTO;;;BOEDO AV. 956;BOEDO AV.;956;BOEDO;COMUNA 5;1218;C1218AAS;-34.62494074501502;-58.4160448023133
37;BUSTO;1;MARMOL;JOAQUIN S. DE ANCHORENA;BALIETTI, ALBERTO;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
38;BUSTO;1;MARMOL;TOMAS JOSE CABALLERO;BALIETTI, ALBERTO;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
40;BUSTO;1;MARMOL;GIACOMO LEOPARDI;BALIETTI, ALBERTO;JARDIN DE LOS POETAS;JARDIN DE LOS POETAS;ISABEL, INFANTA AV. 900;ISABEL, INFANTA AV.;900;;COMUNA 14;1425;C1425CHA;-34.57006679763025;-58.42048286500513
42;MASTIL;1;MAMPOSTERIA E HIERRO;HJE. A LA BANDERA;E.A.I.M.;PLAZA 11 DE NOVIEMBRE DE 1859;PLAZA 11 DE NOVIEMBRE DE 1859;DIRECTORIO AV. 2600;DIRECTORIO AV.;2600;FLORES;COMUNA 7;1406;C1406HAO;-34.63435473556575;-58.46331989095321
44;BUSTO;1;BRONCE;DR. JUAN MANUEL ESTRADA;BARDAS, NICOLAS;ESCUELAS RAGGIO;ESCUELAS RAGGIO;DEL LIBERTADOR AV. 8635;DEL LIBERTADOR AV.;8635;NUÑEZ;COMUNA 13;1429;C1429BNG;-34.536106731430834;-58.46649604824859
45;ESTATUA;1;MARMOL;LA OLA;BARDAS, NICOLAS;PARQUE BALNEARIO SUR;PARQUE BALNEARIO SUR;PAZ, GRAL. AV. 16802;PAZ, GRAL. AV.;16802;;COMUNA 8;1439;C1439HNO;-34.69801445074425;-58.46981073107586
46;ESTATUA;1;MARMOL;LA ARMONIA;BARDAS, NICOLAS;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
47;MASTIL;1;BRONCE Y MAMPOSTERIA;HOMENAJE A LA BANDERA;BARRIAS, ERNESTO;PZTA MALAGARRIGA;PZTA MALAGARRIGA;CABILDO AV. 4002;CABILDO AV.;4002;SAAVEDRA;COMUNA 12;1429;C1429AAY;-34.54639654356436;-58.470351717251916
48;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. A DON FELICIANO BRUNELLI;D.G.O.P.;CNEL APOLINARIO FIGUEROA 602;CNEL APOLINARIO FIGUEROA 602;FIGUEROA, D. APOLINARIO, CORONEL 602;FIGUEROA, D. APOLINARIO, CORONEL;602;VILLA CRESPO;COMUNA 15;1416;C1416DPD;-34.60615040934279;-58.44835374955517
49;MASTIL;1;MAMPOSTERIA Y BRONCE;HOMENAJE A LA BANDERA;BARRIAS, LUIS ERNESTO;AV RIESTRA Y M LEGUIZAMON;AV RIESTRA Y M LEGUIZAMON;RIESTRA AV. Y LEGUIZAMON, MARTINIANO;RIESTRA AV.;;VILLA LUGANO;COMUNA 8;;;-34.677923609294645;-58.47613342980809
52;ESCULTURA NEOFIGURA;1;HIERRO;EL ARBOL;BASTERRETXEA, N.;PARQUE CARLOS THAYS;PARQUE CARLOS THAYS;DEL LIBERTADOR AV. Y CALLAO AV.;DEL LIBERTADOR AV.;;RECOLETA;COMUNA 2;;;-34.586585155522265;-58.38585230082456
53;ESTATUA;1;MARMOL;ALLA FONTE;BATTIGLIA, C;PASEO DE LA RECOLETA;PASEO DE LA RECOLETA;LOPEZ, VICENTE 2050;LOPEZ, VICENTE;2050;RECOLETA;COMUNA 2;1128;C1128ACF;-34.588919443992125;-58.39362848214972
54;GRUPO ESCULTORICO;1;BRONCE;HOMENAJE A LA MADRE;BATTISTI, FERRARO;AV RIESTRA Y MURGUIONDO;AV RIESTRA Y MURGUIONDO;RIESTRA AV. Y MURGUIONDO;RIESTRA AV.;;VILLA LUGANO;COMUNA 8;;;-34.67721779279616;-58.475334193005686
56;BUSTO Y BASE;1;BRONCE Y MAMPOSTERIA;HJE. AL GRL. SAN MARTINN;PERLOTI, LUIS;CNEL APOLINARIO FIGUEROA 602;CNEL APOLINARIO FIGUEROA 602;FIGUEROA, D. APOLINARIO, CORONEL 602;FIGUEROA, D. APOLINARIO, CORONEL;602;VILLA CRESPO;COMUNA 15;1416;C1416DPD;-34.60615040934279;-58.44835374955517
57;MASTIL;1;HIERRO Y BRONCE;ARGENTINIDAD;PERLOTI, LUIS;CNEL APOLINARIO FIGUEROA 602;CNEL APOLINARIO FIGUEROA 602;FIGUEROA, D. APOLINARIO, CORONEL 602;FIGUEROA, D. APOLINARIO, CORONEL;602;VILLA CRESPO;COMUNA 15;1416;C1416DPD;-34.60615040934279;-58.44835374955517
58;PLACA Y MONOLITO;1;FIBROCEMENTO Y MAMPOSTERIA;ESCUDO URUGUAYO;M.O.A.;14 DE JULIO 1150;14 DE JULIO 1150;14 DE JULIO 1150;14 DE JULIO;1150;VILLA ORTUZAR;COMUNA 15;1427;C1427CJX;-34.58017227381173;-58.461883741630615
59;ESTATUA;1;BRONCE;PUREZA;BIGATTI, ALFREDO;JARDIN BOTANICO;JARDIN BOTANICO;SANTA FE AV. 3951;SANTA FE AV.;3951;PALERMO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
60;GRUPO ESCULTORICO;1;BRONCE;SATURNALIA;BIONDI, ERNESTO;JARDIN BOTANICO;JARDIN BOTANICO;SANTA FE AV. 3951;SANTA FE AV.;3951;PALERMO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
61;MONUMENTO CON RELIE;1;CEMENTO PATINADO;HOMENAJE A LOS HEROES Y MARTIRES GHETTO;BISCIONE, CARLOS;PARQUE DEL CENTENARIO;PARQUE DEL CENTENARIO;DIAZ VELEZ AV. Y FINOCHIETTO, RICARDO, DR.;DIAZ VELEZ AV.;;CABALLITO;COMUNA 6;;;-34.608622751102516;-58.43579196744385
63;GRUPO ESCULTORICO;1;MARMOL;LOS PRIMEROS FRIOS;BLAY Y FABREGAS, M.;JARDIN BOTANICO;JARDIN BOTANICO;SANTA FE AV. 3951;SANTA FE AV.;3951;PALERMO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
64;PLACA Y MONOLITO;1;FIBROCEMENTO Y MAMPOSTERIA;ESCUDO NACIONAL;M.O.A.;14 DE JULIO 1150;14 DE JULIO 1150;14 DE JULIO 1150;14 DE JULIO;1150;VILLA ORTUZAR;COMUNA 15;1427;C1427CJX;-34.58017227381173;-58.461883741630615
65;MASTIL;1;MAMPOSTERIA E HIERRO;HJE. A LA BANDERA;RAVAZZOLI, ING. LUIS;14 DE JULIO 1150;14 DE JULIO 1150;14 DE JULIO 1150;14 DE JULIO;1150;VILLA ORTUZAR;COMUNA 15;1427;C1427CJX;-34.58017227381173;-58.461883741630615
66;ESCULTURA;1;BRONCE;TORSO MASCULINO;BOTERO, FERNANDO;PARQUE CARLOS THAYS;PARQUE CARLOS THAYS;DEL LIBERTADOR AV. Y CALLAO AV.;DEL LIBERTADOR AV.;;RECOLETA;COMUNA 2;;;-34.586585155522265;-58.38585230082456
67;MONOLITO;1;GRANITO;HJE.AL BRIGADIER GRL.LAVALLEJA;;14 DE JULIO 1150;14 DE JULIO 1150;14 DE JULIO 1150;14 DE JULIO;1150;VILLA ORTUZAR;COMUNA 15;1427;C1427CJX;-34.58017227381173;-58.461883741630615
68;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA DE PLAZA;D.G.M.;FIGUERO ALCORTA 4000;FIGUERO ALCORTA 4000;FIGUEROA ALCORTA, PRES. AV. 4000;FIGUEROA ALCORTA, PRES. AV.;4000;PALERMO;COMUNA 14;1425;C1425CLS;-34.57052915000522;-58.41333948518625
69;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE.A JUAN BAUTISTA ALBERDI;D.G.O.M.;O HIGGINS 2600;O HIGGINS 2600;O'HIGGINS 2600;O'HIGGINS;2600;BELGRANO;COMUNA 13;1428;C1428AGP;-34.55534109776024;-58.4569014142588
70;GRUPO ESCULTORICO;1;MARMOL;EL PERDON;BOVERIE, EUGENIO;PARQUE AVELLANEDA;PARQUE AVELLANEDA;DIRECTORIO AV. Y LACARRA;DIRECTORIO AV.;;PARQUE AVELLANEDA;COMUNA 9;;;-34.6412975520066;-58.47992772490574
71;MASTIL;1;HIERRO;HJE. A LA BANDERA;CONST.HORIZONTES;O HIGGINS 2600;O HIGGINS 2600;O'HIGGINS 2600;O'HIGGINS;2600;BELGRANO;COMUNA 13;1428;C1428AGP;-34.55534109776024;-58.4569014142588
73;BUSTO;1;MARMOL;ADOLFO J. BULLRICH;BRODSKY, JOSE;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
74;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE.A LAUREANO OLIVER;D.G.O.M.;O HIGGINS 2600;O HIGGINS 2600;O'HIGGINS 2600;O'HIGGINS;2600;BELGRANO;COMUNA 13;1428;C1428AGP;-34.55534109776024;-58.4569014142588
75;BUSTO;1;MARMOL;JOSE MARMOL;BRUNINX, JOSE;PASEO DEL LECTOR;PASEO DEL LECTOR;LAS HERAS GENERAL AV. 2505;LAS HERAS GENERAL AV.;2505;RECOLETA;COMUNA 2;1425;C1425ASC;-34.5856141644297;-58.39914756326172
76;BUSTO;1;BRONCE;DR. MARCIAL V. QUIROGA;BRUNINX, LUIS;HOSPITAL MUNICIPAL RAMOS MEJIA;HOSPITAL MUNICIPAL RAMOS MEJIA;URQUIZA, GRAL. 609;URQUIZA, GRAL.;609;BALVANERA;COMUNA 3;1221;C1221ADC;-34.617620510654355;-58.409400324618595
77;BUSTO;1;BRONCE;RAMON PEREZ AYALA;BUCCI, ARMANDO;JARDIN DE LOS POETAS;JARDIN DE LOS POETAS;ISABEL, INFANTA AV. 900;ISABEL, INFANTA AV.;900;;COMUNA 14;1425;C1425CHA;-34.57006679763025;-58.42048286500513
78;MONUMENTO;1;BRONCE Y PIEDRA;GENERAL MARTIN MIGUEL DE GUEMES;BUCCI, ERMANDO;PARQUE SAN BENITO;PARQUE SAN BENITO;FIGUEROA ALCORTA, PRES. AV. 6700;FIGUEROA ALCORTA, PRES. AV.;6700;BELGRANO;COMUNA 13;1428;C1428BCP;-34.55076452781657;-58.437555981082845
80;BUSTO;1;MARMOL;CESAR B. CACCIA;BUCCI, ERMANDO;PALACIO MUNICIPAL;PALACIO MUNICIPAL;BOLIVAR 1;BOLIVAR;1;MONSERRAT;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
83;BUSTO;1;BRONCE Y MARMOL;ENRIQUE LARRETA;BUSTILLO, ALEJANDRO;JARDIN DE LOS POETAS;JARDIN DE LOS POETAS;ISABEL, INFANTA AV. 900;ISABEL, INFANTA AV.;900;;COMUNA 14;1425;C1425CHA;-34.57006679763025;-58.42048286500513
84;BUSTO;1;CEMENTO PATINADO;ALBERTO VACCAREZZA;TOTO, CARLOS MARIA;PLAZA ALBERTO VACCAREZZA;PLAZA ALBERTO VACCAREZZA;ALCARAZ 5400;ALCARAZ;5400;VILLA LURO;COMUNA 10;1407;C1407GIZ;-34.62600959556065;-58.51122985103146
85;RELOJ SOLAR;1;;MOTIVO DECORATIVO;NATIONAL PANASONIC;PLAZA ALFEREZ SOBRAL;PLAZA ALFEREZ SOBRAL;SALGUERO, JERONIMO 2502;SALGUERO, JERONIMO;2502;PALERMO;COMUNA 14;1425;C1425DEW;-34.58212277794186;-58.410202603405686
86;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA DE PLAZOLETA;D.G.M;PLAZA ALFREDO NOBEL;PLAZA ALFREDO NOBEL;TURIN 3300;TURIN;3300;PARQUE CHAS;COMUNA 15;1431;C1431DHH;-34.58759752170362;-58.48374280817317
89;PLACA Y MONOLITO;1;MARMOL Y MAMPOSTERIA;HJE. A LA VIRGEN DE ITATI;D.G.O.M.;PLAZA ALMAGRO;PLAZA ALMAGRO;SARMIENTO 3800;SARMIENTO;3800;ALMAGRO;COMUNA 5;1197;C1197AAB;-34.60534232188875;-58.418220920795456
94;MASTIL;1;GRANITO RECONSTITUIDO;HJE. A LA BANDERA;VARANGOT, ING. JORGE;PLAZA ALMAGRO;PLAZA ALMAGRO;SARMIENTO 3800;SARMIENTO;3800;ALMAGRO;COMUNA 5;1197;C1197AAB;-34.60534232188875;-58.418220920795456
95;PLACA Y MONOLITO;1;MARMOL Y MAMPOSTERIA;HJE. A VICENTE SAN LORENZO;;PLAZA ALMAGRO;PLAZA ALMAGRO;SARMIENTO 3800;SARMIENTO;3800;ALMAGRO;COMUNA 5;1197;C1197AAB;-34.60534232188875;-58.418220920795456
96;ESTATUA;1;BRONCE;DR. JUAN F. AGUILAR;CARLIN, JOSE;HOSPITAL MUNICIPAL RAMOS MEJIA;HOSPITAL MUNICIPAL RAMOS MEJIA;URQUIZA, GRAL. 609;URQUIZA, GRAL.;609;BALVANERA;COMUNA 3;1221;C1221ADC;-34.617620510654355;-58.409400324618595
97;ESTATUA;1;PIEDRA;JUVENTUD;CAPURRO, ROBERTO;PLAZA ALMIRANTE BROWN;PLAZA ALMIRANTE BROWN;SALVADORES, CNEL. E IRALA;SALVADORES, CNEL.;;BOCA;COMUNA 4;;;-34.6444435207776;-58.36546878215825
99;ESTATUA;1;BRONCE;EL MODERNO ANTEO;LEGUIZAMON PONDAL;PLAZA ALMIRANTE BROWN;PLAZA ALMIRANTE BROWN;SALVADORES, CNEL. E IRALA;SALVADORES, CNEL.;;BOCA;COMUNA 4;;;-34.6444435207776;-58.36546878215825
101;MASTIL MONUMENTAL;1;PIEDRA;GLORIAS NAVALES DE LA NACION;LEONE, JUAN BAUTISTA;PLAZA ALMIRANTE BROWN;PLAZA ALMIRANTE BROWN;SALVADORES, CNEL. E IRALA;SALVADORES, CNEL.;;BOCA;COMUNA 4;;;-34.6444435207776;-58.36546878215825
102;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE.A CARLOS PELLEGRINI;CASAS, C.;PZTA CARLOS PELLEGRINI;PZTA CARLOS PELLEGRINI;ALVEAR AV. 1350;ALVEAR AV.;1350;RETIRO;COMUNA 1;1014;C1014AAN;-34.59167891664071;-58.383109364623046
103;BUSTO;1;CEMENTO BLANCO;ALMTE. RAMON GONZALEZ FERNANDEZ;FERRARO, JUAN CARLOS;PLAZA ALMTE RAMON GONZALEZ FERNA;PLAZA ALMTE RAMON GONZALEZ FERNA;SARMIENTO AV. E IRAOLA AV.;SARMIENTO AV.;;PALERMO;COMUNA 14;;;-34.57214617085929;-58.41246804358268
105;PLACA;1;BRONCE;HOMENAJE AL GRL. SAN MARTINN;CENTRO COMERCIAL;BIBLIOTECA EL PROGRESO;BIBLIOTECA EL PROGRESO;RIESTRA AV. 5655;RIESTRA AV.;5655;VILLA LUGANO;COMUNA 8;1439;C1439BYH;-34.67680478758708;-58.474957215678586
107;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;NOMENCLATURA DE PLAZA;E.A.I.M.;PLAZA ANTONIO MALAVER;PLAZA ANTONIO MALAVER;GIRARDOT Y ESTOMBA;GIRARDOT;;VILLA ORTUZAR;COMUNA 15;;;-34.58694639771104;-58.4672902601497
110;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. A PROCERES DE LA INDEPENDENCIA;D.O.M.;PLAZA ARENALES;PLAZA ARENALES;MERCEDES 4058;MERCEDES;4058;VILLA DEVOTO;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
111;MASTIL;1;MAMPOSTERIA;HJE. A LA BANDERA;PERLOTI, LUIS;PLAZA ARENALES;PLAZA ARENALES;MERCEDES 4058;MERCEDES;4058;VILLA DEVOTO;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
112;ESTATUA;1;BRONCE;LA CAUTIVA;CHIERICO, SANTIAGO;PZTA VICENTE BELLINI;PZTA VICENTE BELLINI;RIVADAVIA AV. 9175;RIVADAVIA AV.;9175;VELEZ SARSFIELD;COMUNA 10;1407;C1407DZA;-34.63648455457271;-58.49349567441435
113;MONUMENTO Y BASE;1;BRONCE Y MAMPOSTERIA;CONDE ANTONIO DEVOTO;ZOCCHI, ARNALDO;PLAZA ARENALES;PLAZA ARENALES;MERCEDES 4058;MERCEDES;4058;VILLA DEVOTO;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
115;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. 150° ANIV. INDEPENDENCIA NACION;;PLAZA ARENALES;PLAZA ARENALES;MERCEDES 4058;MERCEDES;4058;VILLA DEVOTO;COMUNA 11;1419;C1419BGJ;-34.60024618132441;-58.512812850645886
117;BUSTO;1;QUEBRACHO;DR. PROSPERO DECO;CONDINO, B. R.;HOSPITAL MUNICIPAL PEÑA;HOSPITAL MUNICIPAL PEÑA;CHUTRO, PEDRO, PROF., DR. 3380;CHUTRO, PEDRO, PROF., DR.;3380;PARQUE PATRICIOS;COMUNA 4;1437;C1437IYP;-34.64305175477846;-58.41141236482849
118;MASTIL;1;MAMPOSTERIA E HIERRO;HJE. A LA BANDERA;D.A.O.M.;PLAZA ARISTOBULO DEL VALLE;PLAZA ARISTOBULO DEL VALLE;CUENCA 2500;CUENCA;2500;VILLA DEL PARQUE;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
120;BUSTO;1;CEMENTO PATINADO;GRL. SAN MARTINN;M.O.A.;PLAZA ARISTOBULO DEL VALLE;PLAZA ARISTOBULO DEL VALLE;CUENCA 2500;CUENCA;2500;VILLA DEL PARQUE;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
121;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. AL 50° ANIV. DE VILLA DEL PARQU;;PLAZA ARISTOBULO DEL VALLE;PLAZA ARISTOBULO DEL VALLE;CUENCA 2500;CUENCA;2500;VILLA DEL PARQUE;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
122;ESTATUA;1;MARMOL;LA PRIMAVERA;CORREA MORALES, L.;JARDIN BOTANICO;JARDIN BOTANICO;SANTA FE AV. 3951;SANTA FE AV.;3951;PALERMO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
123;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. AL GRL. SAN MARTINN;;PLAZA ARISTOBULO DEL VALLE;PLAZA ARISTOBULO DEL VALLE;CUENCA 2500;CUENCA;2500;VILLA DEL PARQUE;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
124;MONUMENTO;1;BRONCE Y PIEDRA;FALUCHO;CORREA MORALES, L.;PZTA FALUCHO;PZTA FALUCHO;SANTA FE AV. Y DRESCO, ARTURO ANTONIO;SANTA FE AV.;;PALERMO;COMUNA 14;;;-34.57726337495626;-58.429310773058354
125;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE. A CANILLITAS AL GRL. BELGRANO;;PLAZA ARISTOBULO DEL VALLE;PLAZA ARISTOBULO DEL VALLE;CUENCA 2500;CUENCA;2500;VILLA DEL PARQUE;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
126;PLACA Y MONOLITO;1;BRONCE Y MAMPOSTERIA;HJE.A LA ASOCIACION VECINAL V.DEL PARQU;;PLAZA ARISTOBULO DEL VALLE;PLAZA ARISTOBULO DEL VALLE;CUENCA 2500;CUENCA;2500;VILLA DEL PARQUE;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
127;PLACA Y MONOLITO;1;MARMOL Y MAMPOSTERIA;HJE.CENTENARIO VILLA GRAL. MITRE;;PLAZA ARISTOBULO DEL VALLE;PLAZA ARISTOBULO DEL VALLE;CUENCA 2500;CUENCA;2500;VILLA DEL PARQUE;COMUNA 11;1417;C1417AAF;-34.60701132372616;-58.490675477220066
128;MONUMENTO;1;BRONCE Y MARMOL;DR. CARLOS PELLEGRINI;COUTAN, JULIO FELIX;PZTA CARLOS PELLEGRINI;PZTA CARLOS PELLEGRINI;ALVEAR AV. 1350;ALVEAR AV.;1350;RETIRO;COMUNA 1;1014;C1014AAN;-34.59167891664071;-58.383109364623046
129;GRUPO ESCULTORICO;1;MARMOL;EL ABORIGEN;CULLEN AYERZA, H.;PARQUE ESPAÑA;PARQUE ESPAÑA;CASEROS AV. Y BAIGORRI;CASEROS AV.;;BARRACAS;COMUNA 4;;;-34.633349652005904;-58.387273726884345
130;BANCOS;1;HORMIGON;ANFITEATRO;ARQ. LUONGO, HERRERO;PLAZA ARMENIA;PLAZA ARMENIA;MALABIA Y COSTA RICA;MALABIA;;PALERMO;COMUNA 14;;;-34.58946607638585;-58.42508060293869
131;GRUPO ESCULTORICO;2;CEMENTO BLANCO;MOTIVOS DECORATIVOS;CURATELLA MANES, P.;TEATRO SAN MARTINN;TEATRO SAN MARTINN;CORRIENTES AV. 1530;CORRIENTES AV.;1530;SAN NICOLAS;COMUNA 1;1042;C1042AAO;-34.604238054156944;-58.38864181184383
